Post,Sentiment,Matched Phobias,Matched Keyword
"I think its fun to run circles around someone while they are running... and its even better if they get tired first!",Negative,"",""
"What can one do when one is bored?",Negative,"",""
"Can't wait for fair bowl!",Negative,"",""
"We won 35 to 34! Close but still a win!!!",Positive,"",""
"Haha! You can't say im a bored person all the time..... i had a great weekend!",Negative,"",""
"Im so boreded again.......",Positive,"",""
"having fun at school....... hmmm....... nvm",Positive,"",""
"its snowing this morning........                  is that supposed to happen??",Positive,"",""
"Can't wait for friday! (football game)",Negative,"",""
"liked the greenhand conference and enjoyed watching volleyball woop butt today.....",Positive,"",""
"Im so bored!!!",Negative,"",""
"is awesomely cool!!!",Positive,"",""
"Homecoming was awesome! i loved getting that tackle!! i wanna play again.....",Positive,"",""
"im so bored today..... im always bored... i dont know why... hmmm",Negative,"",""
"How do I change my FACEBOOK user name",Neutral,"",""
"Cant wait for Friday!",Neutral,"",""
"there were some scary people today... *whispers (opposite sex day)*",Neutral,"",""
"What a great life i have... first my nose... now my fricken hand!",Positive,"",""
"UGH! another game lost..... We need to work as a team!",Neutral,"",""
"Basketball is fun but we've lost two games and won two",Positive,"",""
"lost another game... but Dang!! was it close",Negative,"",""
"new status time... now what should i put... oh well",Positive,"",""
"will be completely honest for the next 24 hours....you can ask me one question (only in my inbox)....any question no matter how crazy or wrong it is....but you can only ask me one question!!!! you will have my full honesty....but i dare you to put this as your status too and see what questions you get !!! :) x This should be interesting.",Neutral,"",""
"AH! i hate being sick..... now i have to go to school tomorrow..... (hate that to)",Neutral,"",""
"will be completely honest for the next 24 hours....you can ask me one question (only in my inbox)....any question no matter how crazy or wrong it is....but you can only ask me one question!!!! you will have my full honesty....but i dare you to put this as your status too and see what questions you get !!! :) x This should be interesting.",Neutral,"",""
"Dragons ignored human names when they didnt't like the bearer.",Neutral,"",""
"fie! Time, Inc. has blocked gchat... does this mean I have to be productive now?",Negative,"",""
"is in search of the perfect margarita... :)",Positive,"",""
"I was sitting at LaGuardia, wondering why my flight was delayed, and then I saw on the TV that there had been a bomb threat and evacuation earlier today... lucky meeee",Negative,"",""
"do i have to take out my nose ring and join the corporate world?",Neutral,"",""
"just spent the last hour looking at photos from junior abroad in london, and is dying to go back",Negative,"",""
"hmmm i better not fail my pass//fail...",Negative,"",""
"is struggling :( :( :( :( :(",Negative,"",""
"ewww 33"" of snow... apparently the most at one time since 1969!",Negative,"",""
"LAW SCHOOL IS TOO HARD!",Negative,"",""
"thanks everyone, but i decided to get younger this year... :)",Positive,"",""
"is at work! >.<",Positive,"",""
"hopes that transformers isn't sold out!",Negative,"",""
"is going to the mellow mushroom after work at 8.",Neutral,"",""
"must be insane for starting a twitter account",Neutral,"",""
"Hates *PROPNAME* for starting her on this damn farm town app.  You all must stert playing now and give me gifts! And mafia wars too. FML I'm a loser.",Negative,"",""
"la la la la!",Positive,"",""
"Hello, to high and dry.",Negative,"Acrophobia,","high,"
"is in the Bluff!",Positive,"",""
"loves the gorilla face!",Positive,"",""
"This is my face Covered in freckles With the occasional spot and some veins This is my body Covered in skin And not all of it you can see And, this, is my mind It goes over and over The same old lines And, this, is my brain It's torturous analytical thoug",Negative,"",""
"*PROPNAME* comes back tonight!!! YAAAAAYYYY!!!!!!",Negative,"",""
"is ready for school to start back... summer sucks when you aren't actually on vacation",Negative,"",""
"realizes that she has friends on Facebook that she doesn't remember how she met... is that wrong? Discuss:",Negative,"",""
"is reading Master and Fool, the convoluted finally to The Book of Words trillogy, in between playing stupid facebook apps... Such a Nerd. >.<",Negative,"",""
"is creating a LinkedIn account, as if she didn't already have too many networking accounts to keep track of!",Negative,"",""
"I, I'm thinking it's a sign That the freckles in our eyes Are mirror images, and when we kiss They're perfectly aligned And I have to speculate That God himself did make Us into corresponding shapes Like puzzle pieces from the clay",Negative,"",""
"is at work... yay.",Neutral,"",""
"thinks she will keep this as her profile pic until those tan lines fade, if that ever happens.",Neutral,"",""
"is stressed... but has great tickets for the game! row 1 baby! Woot!",Very positive,"",""
"got a jersy from *PROPNAME*, a clean car from her mother, and a free portfolio from her sister! Not too shabby for the unexciting 22nd birthday. :D Thank you everyone!",Very negative,"",""
"dealing with crazy people all day... A&A ppl: don't forget the lecture tonight! Not sure what it is about though... :P",Negative,"",""
">.<",Positive,"",""
"absolutely hates AutoCAD.  Why am I still in architecture?",Negative,"",""
"Come on UT: We need a touchdown!",Negative,"",""
"is blah blah blah....but... TGIF!!! Happy weekend everyone!!!",Negative,"",""
"GODDAMNIT!!!! FUCK YOU LINCOLN!!! Kick HIGHER! And the guy took off his helmit! We should have had a re-kick! What BS is this? AAAARRRRG!!!!!!",Neutral,"",""
"I just realized that the song ""All I wanna do is make love to you"" by Heart is about a woman picking up a stranger and seducing him in order to get a child... Wha?",Negative,"",""
"GAAAARRRG!!!",Neutral,"",""
"would like to bash her head against a concrete wall.",Negative,"",""
"will be in knoxville for break. >.<'",Negative,"",""
"a;lkdhoarjenfpreoijn",Neutral,"",""
"will post some Halloween pictures... eventually.",Neutral,"",""
"has come to the realization that I hate Architecture. Hate it. Integrations is the worst experience ever. I'll be happy passing with a C.",Negative,"",""
"hopes to have her drawings finished in exactly one week from now... let's see how THAT works out...",Neutral,"",""
"...?",Neutral,"",""
"is inactive.",Negative,"",""
"is upset.  *PROPNAME* ditched our appointment I made, after I waited in the office for about an hour, and now I'll probably never get to talk to her.  I wish she'd actually do her job in stead of taking 5 hour lunch breaks then leaving early.... Bitch.",Very positive,"",""
"is hungry.",Neutral,"",""
"needs to suck it up.",Neutral,"",""
"Due to a lack of anyone being interested in my life updates, I will write here and delude myself that someone wiill read it later and actually care...  Got a new phone yesterday: a Palm treo.  Had to pay $30 a mo extra to use it, but now I'll be able to use the interwebz while in White Bluff.  30 dollars is a fair price to put on cabin fever prevention. Maybe I should Tweet this too. :P",Negative,"",""
"*PROPNAME* made it up to me today... after I waited for her for a half hour past our appointment time. Sheesh. But *PROPNAME* was awesome enough to let me have some hot chocolate :)",Negative,"",""
"is in Knoxilla for a few days. Trying to get this Germany thing settled. Still. Garg!",Neutral,"",""
"just got skype. name: ljacocke",Positive,"",""
"On her way to NOLA!",Positive,"",""
"Studying is cramping my style...",Positive,"",""
"Everyone should listen to Funhouse...best record I've heard in a long time!",Very positive,"",""
"Wishing the lovely *PROPNAME* a Happy Birthday!",Positive,"",""
"Will be working for OCB two months from now! I cannot wait!",Positive,"",""
"Cannot believe the court is allowing the press to publish photos of MJ's kids....",Neutral,"",""
"moving back to NOLA on the first...so little time",Positive,"",""
"Wishing all of her friend the best of luck on the Louisian Bar Exam!",Positive,"",""
"The Law Graduates Prayer: God...if it's not too much to ask... May I pass the bar?",Negative,"",""
"Excited to see *PROPNAME* and *PROPNAME* tonight, run *PROPNAME*, and see the weight fall off my butt!",Negative,"",""
"At Rue",Neutral,"",""
"Counting down the days till NOLA!",Negative,"",""
"Had an awesome fourth of July",Neutral,"",""
"5 days, until I leave Waco FOREVER!!!!!!!!!!!!!!!",Negative,"",""
"Finally going to get the car washed tomorrow!",Positive,"",""
"Scared of PC III and the bar...",Neutral,"",""
"hopin and prayin",Neutral,"",""
"Cannot believe it is Wednesday already!",Negative,"",""
"Never getting gas before work again...",Negative,"",""
"Hoping to get out of her driveway.",Neutral,"",""
"Cannot wait to see *PROPNAME* today!",Negative,"",""
"It's a hershey's day",Neutral,"",""
"WHO 'DAT!",Positive,"",""
"Takes home more from her monthly salary then she realized!",Positive,"",""
"GE = finally recovering...thank you jesus!",Positive,"",""
"working",Neutral,"",""
"Gettin ready for tommorrow!",Neutral,"",""
"Getting her Bar application together...yes, it's that time of year again!",Positive,"",""
"is going on a deposition, my first real one with OCB!",Positive,"",""
"Most disgusting statistic I've ever heard: AVG NYC Model = 5'10, 110lbs....",Negative,"",""
"Stuyding for the MPRE!",Positive,"",""
"is a busy bee",Neutral,"",""
"Had a great time seeing everyone at OCB today!",Positive,"",""
"Excited to see that every stock in her portfolio outperformed market expectations!",Neutral,"",""
"Torture= watching *PROPNAME* and *PROPNAME* stock the pantry 15 minutes after I decide to get serious about this diet...",Negative,"",""
"icky feeling = gone. Back to prancing through the office with a smile, and my usual excessive energy//need for adventure!",Positive,"",""
"a very happy girl!",Positive,"",""
"Rain is ruining my plans...",Neutral,"",""
"best boss's lunch ever!",Positive,"",""
"phone = dead; chat with me here",Neutral,"",""
"Apparently applied to law school at Depaul today...at least that's what they tell me...",Neutral,"",""
"Only 9 more pounds... why won't they go away?",Neutral,"",""
"In our personal and professional lives, we are constantly hit with one adversity after the other, most of which we have no control over. But the four things we have total control over is how we react, how we adapt, how we breathe and how we take action.",Positive,"",""
"The only people who are more entertaining then rappers are wannabe rappers. (See *PROPNAME*)",Negative,"",""
"***Attention-Houston area ANIMAL LOVERS! Montgomery County Animal Shelter is closing tomorrow. You can adopt for free tomorrow between 12-4. They will be euthanizing all animals without a home!!! Go & save a life!! 30 cats and 80 dogs left. Please re-post.***",Neutral,"Cynophobia,","dogs,"
"Is looking to join junior league of New Orleans, anybody know who to contact?",Neutral,"",""
"Thanking everyone for all the birthday love. Now, how 'bout them saints!? I am in need of a place//people to watch with tonight... any takers?",Negative,"",""
